Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Srinkhal,1947,,6.4,0,unknown,bengali
Kabhi Yuh Bhi Toh Ho,2014,102 min,6.4,0,family,hindi
Aadi Shakti,1992,,6.4,0,action,hindi
Appavi Kateri,2015,,6.4,0,drama,tamil
Kanyavanangal,2019,122 min,6.4,0,drama,malayalam
Little Singham: Kaal Ka Badla,2020,69 min,5.1,9,"animation, action",hindi
Ek Doctor Ki Maut,1990,122 min,8.3,1309,"biography, drama",hindi
Mazaaq,1943,,6.4,0,unknown,hindi
The Train,1970,138 min,6.4,148,"action, crime, mystery",hindi
Lala Begum,2016,58 min,6.5,21,"drama, thriller",urdu
Ved Lavi Jeeva,2010,,7.2,14,drama,marathi
Ravoyi Chandamama,1999,,4.9,186,"drama, romance",telugu
Aakhri Ghulam,1989,171 min,5.0,32,"action, crime, drama",hindi
Diljani,1935,,6.4,0,unknown,hindi
Jutt Majhey Da,1988,,6.4,0,unknown,punjabi
Ek Dopahar (An Afternoon),2021,90 min,6.4,0,drama,hindi
Evadu Thakkuva Kadu,2019,125 min,7.5,21,action,telugu
Veera Ranachandi,2017,138 min,6.4,0,drama,kannada
Sasanam,2006,154 min,6.1,16,drama,tamil
Krishna Cottage,2004,124 min,5.1,1004,"horror, mystery",hindi
Sankarabharanam,1980,143 min,8.7,1985,"drama, music, romance",telugu
Ghulam Begum Badshah,1956,124 min,6.6,5,"drama, history",hindi
Bombay Rose,2019,97 min,6.1,440,"animation, drama, romance",hindi
Ratha Kanneer,1954,154 min,8.1,306,drama,tamil
Utthaan,1989,,6.4,0,drama,hindi
Jaanmoni Vol - 1,2008,70 min,6.4,0,"musical, romance",assamese
Badhti Ka Naam Dadhi,1974,,6.7,37,drama,hindi
Neeye Nijam,2005,,6.4,0,drama,tamil
Madhanam,2019,128 min,8.9,9,"comedy, romance",telugu
Hyderabad Ki Nazneen,1952,,6.4,0,drama,hindi
Daakghor,2018,46 min,6.4,0,drama,bengali
Coolie,2004,,6.3,26,action,bhojpuri
Ilamura Thamburan,1998,,4.7,6,drama,malayalam
Khoon Pasina,1977,210 min,6.2,352,"action, drama",hindi
Seeta Salma Suzy,1992,,6.4,0,action,hindi
Suhaagan,1986,,6.4,0,unknown,punjabi
Ganesh,2009,,5.0,257,romance,telugu
Karwane Hayat,1935,122 min,6.0,6,unknown,urdu
Iron Man,2008,126 min,7.9,954861,"action, adventure, sci-fi",urdu
Shiva Sainya,1996,138 min,8.5,12,"action, drama",kannada
Pita Maata Santan,1997,136 min,6.4,0,"action, drama, romance",bengali
Punnagai Poove,2003,,5.6,22,romance,tamil
Ek Musafir Ek Hasina,1962,,6.6,48,"action, comedy, mystery",oriya
Yechchil Iravugal,1982,,3.6,5,unknown,tamil
Swarnakireedam,1996,,6.4,0,unknown,malayalam
Samhaara,2018,,6.0,43,"action, thriller",kannada
Aro Oral,2017,,8.3,15,"short, mystery",malayalam
1 Pandhu 4 Run 1 Wicket,2014,107 min,6.4,0,drama,tamil
Zid,2014,126 min,4.4,1066,"crime, romance, thriller",hindi
Ayalathe Sundari,1974,168 min,7.1,8,"comedy, musical",malayalam
Inakkilly,1984,,6.4,0,"drama, romance",malayalam
Sampoorna Mahabharat,1983,155 min,7.8,10,"action, adventure, drama",gujarati
Pratibad,1971,,6.4,0,drama,bengali
Izzatdaar,1990,172 min,5.2,177,"action, crime, drama",hindi
Minor Raja,1991,,6.5,13,comedy,telugu
Ullasappoonkattu,1997,,4.8,54,comedy,malayalam
Salaar,2022,,6.4,0,action,kannada
Kaivazhikal Piriyumbol,1977,,6.4,0,unknown,malayalam
Nyayam Meere Cheppali,1985,,5.8,9,unknown,telugu
Tan-Badan,1986,115 min,5.1,37,drama,hindi
Miss Priyambada,1967,93 min,7.1,12,romance,bengali
Devar,1966,156 min,7.2,81,"crime, drama, romance",hindi
Naaji,1959,,6.4,0,drama,punjabi
Kuch Der Aur,2018,65 min,8.5,41,drama,hindi
Krantiveer: The Revolution,2010,159 min,4.6,19,"action, crime, drama",hindi
Manasupaddanu Kani,2000,,6.4,0,romance,telugu
Pyar aur Paisa,1991,,6.4,0,unknown,urdu
Dak Babu,1954,124 min,6.4,0,"drama, family",hindi
Chhalaang,2020,136 min,6.4,15444,"comedy, drama",hindi
Kallan Avaran,2019,21 min,6.4,0,"short, drama",malayalam
Mastuto Bhai,1934,,6.4,0,drama,bengali
Tuesdays and Fridays,2021,106 min,4.5,407,"comedy, musical, romance",hindi
Varna Vasanthangal,2016,128 min,6.4,0,drama,malayalam
